Dataset_Name,Prompt_Type,Vanilla_Coverage,Augmented_Coverage,Coverage_Improvement,Judge_Preference,Score_A,Score_B,Completeness,Readability,Conciseness
The FluPRINT database,V2_Hybrid,0.4433333333333333,0.4533333333333333,0.010000000000000009,Augmented,4,5,9,9,8
T1GDUJA: Glucose dataset of a patient with type 1 diabetes mellitus,V1_Revised,0.3933333333333333,0.3966666666666666,0.0033333333333332993,Augmented,4,5,8,9,9
TetrapodTraits Database,V1_Revised,0.3933333333333333,0.3766666666666667,-0.016666666666666607,Augmented,4,5,9,9,8
leafnp_data,V1_Revised,0.3866666666666666,0.2933333333333333,-0.09333333333333332,Augmented,4,5,9,9,8
Summary-level data from meta-analysis of fat distribution phenotypes in UK Biobank and GIANT,V1_Revised,0.3933333333333333,0.4533333333333333,0.06,Vanilla,4,3,8,9,9
Coronavirus disease (COVID-19) case data - South Africa,V2_Hybrid,0.5033333333333333,0.5533333333333333,0.050000000000000044,Vanilla,4,3,9,9,8
The Global Carbon Project's fossil CO2 emissions dataset,V2_Hybrid,0.4466666666666666,0.2933333333333333,-0.15333333333333332,Augmented,4,5,9,9,8
The Global Carbon Project's fossil CO2 emissions dataset,Structured_v1,0.4466666666666666,0.3516666666666667,-0.09499999999999992,Augmented,4,5,9,9,8
The Global Carbon Project's fossil CO2 emissions dataset,Structured_v1-json,0.4466666666666666,0.4316666666666666,-0.015000000000000013,Augmented,3,5,9,9,8
Coronavirus disease (COVID-19) case data - South Africa,Structured_v1-newchunking,0.5033333333333333,0.5033333333333333,0.0,Augmented,4,5,9,9,8
CODE-15%: a large scale annotated dataset of 12-lead ECGs,Structured_v1-llm-relevance-chunks,0.3533333333333333,0.3466666666666667,-0.006666666666666599,Augmented,4,5,8,9,6
T1GDUJA: Glucose dataset of a patient with type 1 diabetes mellitus,Structured_v1-llm-relevance-chunks,0.3933333333333333,0.5633333333333334,0.17000000000000004,Vanilla,4,3,9,9,8
TetrapodTraits Database,Structured_v1-llm-relevance-chunks,0.3933333333333333,0.4933333333333333,0.09999999999999998,Vanilla,4,3,9,8,6
The Global Carbon Project's fossil CO2 emissions dataset,Structured_v1-llm-relevance-chunks-new-integration,0.4466666666666666,0.4466666666666666,0.0,Augmented,4,5,9,9,8
Summary-level data from meta-analysis of fat distribution phenotypes in UK Biobank and GIANT,Structured_v1-llm-relevance-chunks-remove-references,0.3933333333333333,0.4933333333333333,0.09999999999999998,Vanilla,4,3,9,9,8
Coronavirus disease (COVID-19) case data - South Africa,Structured_v1-llm-relevance-chunks-remove-references,0.5033333333333333,0.5533333333333333,0.050000000000000044,Vanilla,4,3,9,9,8
The Global Carbon Project's fossil CO2 emissions dataset,Structured_v1-llm-relevance-chunks-remove-references,0.4466666666666666,0.4066666666666666,-0.03999999999999998,Augmented,4,5,9,9,8
CODE-15%: a large scale annotated dataset of 12-lead ECGs,research_long,0.3533333333333333,0.2933333333333333,-0.06,Augmented,4,5,9,9,8
T1GDUJA: Glucose dataset of a patient with type 1 diabetes mellitus,research_long,0.3933333333333333,0.5133333333333333,0.12,Vanilla,4,3,9,9,8
T1GDUJA: Glucose dataset of a patient with type 1 diabetes mellitus,research_short,0.3933333333333333,0.4633333333333334,0.07000000000000006,Vanilla,4,3,9,9,8
TetrapodTraits Database,research_short,0.3933333333333333,0.3266666666666666,-0.06666666666666671,Augmented,4,5,9,9,8
Coronavirus disease (COVID-19) case data - South Africa,research_long,0.5033333333333333,0.79,0.28666666666666674,Vanilla,4,3,6,9,8
The Global Carbon Project's fossil CO2 emissions dataset,research_long,0.4466666666666666,0.3766666666666666,-0.07,Augmented,4,5,9,9,8
The Global Carbon Project's fossil CO2 emissions dataset,research_short,0.4466666666666666,0.3366666666666666,-0.10999999999999999,Augmented,4,5,9,9,8
The FluPRINT database,research_long_v2,0.4433333333333333,0.3766666666666666,-0.06666666666666671,Augmented,4,5,9,10,8
Coronavirus disease (COVID-19) case data - South Africa,research_long_v2,0.5033333333333333,0.4966666666666666,-0.00666666666666671,Augmented,4,5,9,9,8
